,station_id,name,latitude,longitude
150,KA1503000070,"350    Harper Ave & 59th St
Name: start_station_name, dtype: object","350    41.787943
Name: start_lat, dtype: float64","350   -87.588315
Name: start_lng, dtype: float64"
151,TA1306000014,"353    Wilton Ave & Diversey Pkwy
Name: start_station_name, dtype: object","353    41.932418
Name: start_lat, dtype: float64","353   -87.652705
Name: start_lng, dtype: float64"
152,15650,"358    Spaulding Ave & Armitage Ave
Name: start_station_name, dtype: object","358    41.917108
Name: start_lat, dtype: float64","358   -87.710221
Name: start_lng, dtype: float64"
153,442,"359    Lincoln Ave & Balmoral Ave
Name: start_station_name, dtype: object","359    41.98
Name: start_lat, dtype: float64","359   -87.69
Name: start_lng, dtype: float64"
154,TA1308000001,"360    Theater on the Lake
Name: start_station_name, dtype: object","360    41.926277
Name: start_lat, dtype: float64","360   -87.630834
Name: start_lng, dtype: float64"
155,13091,"363    Western Ave & 21st St
Name: start_station_name, dtype: object","363    41.854109
Name: start_lat, dtype: float64","363   -87.685838
Name: start_lng, dtype: float64"
156,13132,"365    Damen Ave & Chicago Ave
Name: start_station_name, dtype: object","365    41.895769
Name: start_lat, dtype: float64","365   -87.67722
Name: start_lng, dtype: float64"
157,17660,"367    California Ave & Cortez St
Name: start_station_name, dtype: object","367    41.90036
Name: start_lat, dtype: float64","367   -87.69672
Name: start_lng, dtype: float64"
158,654,"374    Racine Ave & Washington Blvd
Name: start_station_name, dtype: object","374    41.883093
Name: start_lat, dtype: float64","374   -87.657034
Name: start_lng, dtype: float64"
159,18058,"379    Leavitt St & Chicago Ave
Name: start_station_name, dtype: object","379    41.8955
Name: start_lat, dtype: float64","379   -87.681989
Name: start_lng, dtype: float64"
160,13128,"381    Clark St & North Ave
Name: start_station_name, dtype: object","381    41.911974
Name: start_lat, dtype: float64","381   -87.631942
Name: start_lng, dtype: float64"
161,TA1307000143,"384    Sedgwick St & Schiller St
Name: start_station_name, dtype: object","384    41.907695
Name: start_lat, dtype: float64","384   -87.638565
Name: start_lng, dtype: float64"
162,TA1307000144,"385    Wolcott (Ravenswood) Ave & Montrose Ave
Name: start_station_name, dtype: object","385    41.961406
Name: start_lat, dtype: float64","385   -87.676169
Name: start_lng, dtype: float64"
163,13081,"398    Ogden Ave & Congress Pkwy
Name: start_station_name, dtype: object","398    41.87501
Name: start_lat, dtype: float64","398   -87.67328
Name: start_lng, dtype: float64"
